"﻿date","value"
"1994.07.07",0.909
"1994.08.07",0.8965000000000001
"1994.09.07",0.884
"1994.10.07",0.8415
"1994.11.07",0.836
"1994.12.07",0.8435
"1995.01.07",0.8395
"1995.02.07",0.8355
"1995.03.07",0.8855
"1995.04.07",0.895
"1995.05.07",0.90225
"1995.06.07",0.9095
"1995.07.07",0.9238
"1995.08.07",0.9347
"1995.09.07",0.9481
"1995.10.07",0.95455
"1995.11.07",0.961
"1995.12.07",0.966
"1996.01.07",0.972
"1996.02.07",0.978
"1996.03.07",0.9831
"1996.04.07",0.9876
"1996.05.07",0.9921
"1996.06.07",0.999
"1996.07.07",1.00495
"1996.08.07",1.0109
"1996.09.07",1.0164499999999999
"1996.10.07",1.022
"1996.11.07",1.0286
"1996.12.07",1.0343
"1997.01.07",1.04
"1997.02.07",1.0471
"1997.03.07",1.0526
"1997.04.07",1.0581
"1997.05.07",1.0648
"1997.06.07",1.0711
"1997.07.07",1.0774
"1997.08.07",1.085
"1997.09.07",1.0911
"1997.10.07",1.0972
"1997.11.07",1.106
"1997.12.07",1.1115
"1998.01.07",1.117
"1998.02.07",1.1240333333333332
"1998.03.07",1.1310666666666667
"1998.04.07",1.1381
"1998.05.07",1.1447
"1998.06.07",1.1515
"1998.07.07",1.1583
"1998.08.07",1.1678
"1998.09.07",1.178
"1998.10.07",1.1823
"1998.11.07",1.1919499999999998
"1998.12.07",1.2016
"1999.01.07",1.2102
"1999.02.07",1.3834666666666666
"1999.03.07",1.5567333333333333
"1999.04.07",1.73
"1999.05.07",1.6595
"1999.06.07",1.741
"1999.07.07",1.779
"1999.08.07",1.84375
"1999.09.07",1.9085
"1999.10.07",1.934
"1999.11.07",1.897
"1999.12.07",1.86
"2000.01.07",1.8275
"2000.02.07",1.7685
"2000.03.07",1.7455
"2000.04.07",1.7405
"2000.05.07",1.76775
"2000.06.07",1.795
"2000.07.07",1.8
"2000.08.07",1.7975
"2000.09.07",1.8195
"2000.10.07",1.88675
"2000.11.07",1.954
"2000.12.07",1.974
"2001.01.07",1.9882499999999999
"2001.02.07",2.0025
"2001.03.07",2.0405
"2001.04.07",2.1275000000000004
"2001.05.07",2.2145
"2001.06.07",2.3615
"2001.07.07",2.42325
"2001.08.07",2.485
"2001.09.07",2.582
"2001.10.07",2.5715
"2001.11.07",2.561
"2001.12.07",2.389
"2002.01.07",2.327
"2002.02.07",2.462
"2002.03.07",2.375
"2002.04.07",2.4045
"2002.05.07",2.434
"2002.06.07",2.636
"2002.07.07",2.8255
"2002.08.07",3.015
"2002.09.07",3.34
"2002.10.07",3.665
"2002.11.07",3.585
"2002.12.07",3.43375
"2003.01.07",3.2825
"2003.02.07",3.587
"2003.03.07",3.4975
"2003.04.07",3.1415
"2003.05.07",2.949
"2003.06.07",2.91625
"2003.07.07",2.8835
"2003.08.07",2.987
"2003.09.07",2.9210000000000003
"2003.10.07",2.855
"2003.11.07",2.857
"2003.12.07",2.85825
"2004.01.07",2.8595
"2004.02.07",2.863
"2004.03.07",2.8665000000000003
"2004.04.07",2.87
