"date","value"
"1994.07.07",0.909
"1994.07.14",0.923
"1994.07.21",0.932
"1994.07.28",0.939
"1994.08.04",0.91
"1994.08.11",0.898
"1994.08.18",0.895
"1994.08.25",0.887
"1994.09.01",0.884
"1994.09.08",0.876
"1994.09.15",0.857
"1994.09.22",0.854
"1994.09.29",0.855
"1994.10.06",0.844
"1994.10.13",0.8295
"1994.10.20",0.849
"1994.10.27",0.8495
"1994.11.03",0.8445
"1994.11.10",0.84
"1994.11.17",0.8335
"1994.11.24",0.852
"1994.12.01",0.854
"1994.12.08",0.847
"1994.12.15",0.848
"1994.12.22",0.8595
"1994.12.29",0.847
"1995.01.05",0.8395
"1995.01.12",0.844
"1995.01.19",0.848
"1995.01.26",0.8435
"1995.02.02",0.8385
"1995.02.09",0.8335
"1995.02.16",0.8425
"1995.02.23",0.846
"1995.03.02",0.8535
"1995.03.09",0.888
"1995.03.16",0.892
"1995.03.23",0.907
"1995.03.30",0.896
"1995.04.06",0.8955
"1995.04.13",0.9075
"1995.04.20",0.916
"1995.04.27",0.9145
"1995.05.04",0.9005
"1995.05.11",0.8965
"1995.05.18",0.8885
"1995.05.25",0.8925
"1995.06.01",0.9065
"1995.06.08",0.9095
"1995.06.15",0.9055
"1995.06.22",0.9185
"1995.06.29",0.9193
"1995.07.06",0.9238
"1995.07.13",0.9253
"1995.07.20",0.9281
"1995.07.27",0.9364
"1995.08.03",0.9351
"1995.08.10",0.935
"1995.08.17",0.9416
"1995.08.24",0.9464
"1995.08.31",0.9492
"1995.09.07",0.9481
"1995.09.14",0.9514
"1995.09.21",0.953
"1995.09.28",0.9535
"1995.10.05",0.9579
"1995.10.12",0.9578
"1995.10.19",0.9603
"1995.10.26",0.9624
"1995.11.02",0.9623
"1995.11.09",0.961
"1995.11.16",0.9612
"1995.11.23",0.9657
"1995.11.30",0.966
"1995.12.07",0.966
"1995.12.14",0.9668
"1995.12.21",0.9688
"1995.12.28",0.972
"1996.01.04",0.972
"1996.01.11",0.9728
"1996.01.18",0.9721
"1996.01.25",0.976
"1996.02.01",0.978
"1996.02.08",0.978
"1996.02.15",0.9848
"1996.02.22",0.9816
"1996.02.29",0.9845
"1996.03.07",0.9831
"1996.03.14",0.9879
"1996.03.21",0.98765
"1996.03.28",0.9874
"1996.04.04",0.9869
"1996.04.11",0.993
"1996.04.18",0.989
"1996.04.25",0.9909
"1996.05.02",0.992
"1996.05.09",0.994
"1996.05.16",0.9954
"1996.05.23",0.9956
"1996.05.30",0.997
"1996.06.06",0.998
"1996.06.13",1.001
"1996.06.20",1.0023
"1996.06.27",1.0032
"1996.07.04",1.0043
"1996.07.11",1.0051
"1996.07.18",1.0071
"1996.07.25",1.0082
"1996.08.01",1.0097
"1996.08.08",1.0111
"1996.08.15",1.0124
"1996.08.22",1.0145
"1996.08.29",1.0162
"1996.09.05",1.0172
"1996.09.12",1.0205
"1996.09.19",1.0191
"1996.09.26",1.0201
"1996.10.03",1.0211
"1996.10.10",1.0272
"1996.10.17",1.0246
"1996.10.24",1.0255
"1996.10.31",1.0275
"1996.11.07",1.0286
"1996.11.14",1.0297
"1996.11.21",1.0304
"1996.11.28",1.0326
"1996.12.05",1.0345
"1996.12.12",1.0388
"1996.12.19",1.0382
"1996.12.26",1.0385
"1997.01.02",1.0391
"1997.01.09",1.0405
"1997.01.16",1.0429
"1997.01.23",1.0431
"1997.01.30",1.0454
"1997.02.06",1.0469
"1997.02.13",1.0486
"1997.02.20",1.0506
"1997.02.27",1.0507
"1997.03.06",1.0526
"1997.03.13",1.0573
"1997.03.20",1.0615
"1997.03.27",1.0588
"1997.04.03",1.0576
"1997.04.10",1.0587
"1997.04.17",1.061
"1997.04.24",1.0625
"1997.05.01",1.0636
"1997.05.08",1.0646
"1997.05.15",1.0669
"1997.05.22",1.0705
"1997.05.29",1.0741
"1997.06.05",1.0719
"1997.06.12",1.0737
"1997.06.19",1.0764
"1997.06.26",1.0764
"1997.07.03",1.0776
"1997.07.10",1.0791
"1997.07.17",1.081
"1997.07.24",1.0816
"1997.07.31",1.0829
"1997.08.07",1.085
"1997.08.14",1.086
"1997.08.21",1.091
"1997.08.28",1.0932
"1997.09.04",1.0917
"1997.09.11",1.0917
"1997.09.18",1.0934
"1997.09.25",1.0951
"1997.10.02",1.0963
"1997.10.09",1.0976
"1997.10.16",1.0991
"1997.10.23",1.1006
"1997.10.30",1.1063
"1997.11.06",1.1043
"1997.11.13",1.1073
"1997.11.20",1.1085
"1997.11.27",1.1079
"1997.12.04",1.1101
"1997.12.11",1.1153
"1997.12.18",1.1137
"1997.12.25",1.1145
"1998.01.01",1.11615
"1998.01.08",1.1178
"1998.01.15",1.117
"1998.01.22",1.12
"1998.01.29",1.123
"1998.02.05",1.124
"1998.02.12",1.126
"1998.02.19",1.129
"1998.02.26",1.1296
"1998.03.05",1.1311
"1998.03.12",1.1322
"1998.03.19",1.1341
"1998.03.26",1.1355
"1998.04.02",1.137
"1998.04.09",1.1391
"1998.04.16",1.1408
"1998.04.23",1.1433
"1998.04.30",1.1435
"1998.05.07",1.1447
"1998.05.14",1.1465
"1998.05.21",1.1494
"1998.05.28",1.1497
"1998.06.04",1.1511
"1998.06.11",1.1536
"1998.06.18",1.1551
