"date","value"
2015.01.01,2.6575
2015.01.02,2.6941
2015.01.03,2.6982
2015.01.04,2.7023
2015.01.05,2.7064
2015.01.06,2.7001
2015.01.07,2.6835
2015.01.08,2.663
2015.01.09,2.6301
2015.01.10,2.6445333333333334
2015.01.11,2.6589666666666667
2015.01.12,2.6734
2015.01.13,2.643
2015.01.14,2.6159
2015.01.15,2.6422
2015.01.16,2.621
2015.01.17,2.6312333333333333
2015.01.18,2.6414666666666666
2015.01.19,2.6517
2015.01.20,2.6138
2015.01.21,2.6005
2015.01.22,2.5745
2015.01.23,2.5797
2015.01.24,2.5809666666666664
2015.01.25,2.5822333333333334
2015.01.26,2.5835
2015.01.27,2.5724
2015.01.28,2.5764
2015.01.29,2.6035
2015.01.30,2.6824
2015.01.31,2.6973
2015.02.01,2.7122
2015.02.02,2.7271
2015.02.03,2.6945
2015.02.04,2.7418
2015.02.05,2.7451
2015.02.06,2.7825
2015.02.07,2.7782666666666667
2015.02.08,2.7740333333333336
2015.02.09,2.7698
2015.02.10,2.8343
2015.02.11,2.8693
2015.02.12,2.821
2015.02.13,2.8346
2015.02.14,2.8346
2015.02.15,2.8346
2015.02.16,2.8346
2015.02.17,2.8296
2015.02.18,2.8374
2015.02.19,2.8665
2015.02.20,2.868
2015.02.21,2.8716
2015.02.22,2.8752
2015.02.23,2.8788
2015.02.24,2.833
2015.02.25,2.875
2015.02.26,2.9085
2015.02.27,2.839
2015.02.28,2.8581666666666665
2015.03.01,2.8773333333333335
2015.03.02,2.8965
2015.03.03,2.9311
2015.03.04,2.9766
2015.03.05,3.0035
2015.03.06,3.0617
2015.03.07,3.0819
2015.03.08,3.1021
2015.03.09,3.1223
2015.03.10,3.1022
2015.03.11,3.1257
2015.03.12,3.1661
2015.03.13,3.2492
2015.03.14,3.2490666666666668
2015.03.15,3.2489333333333335
2015.03.16,3.2488
2015.03.17,3.2395
2015.03.18,3.2097
2015.03.19,3.2921
2015.03.20,3.2293
2015.03.21,3.1969333333333334
2015.03.22,3.1645666666666665
2015.03.23,3.1322
2015.03.24,3.1398
2015.03.25,3.2012
2015.03.26,3.1828
2015.03.27,3.2496
2015.03.28,3.2432666666666665
2015.03.29,3.2369333333333334
2015.03.30,3.2306
2015.03.31,3.1958
2015.04.01,3.1655
2015.04.02,3.1205
2015.04.03,3.121
2015.04.04,3.1227666666666667
2015.04.05,3.1245333333333334
2015.04.06,3.1263
2015.04.07,3.1288
2015.04.08,3.0495
2015.04.09,3.0591
2015.04.10,3.0756
2015.04.11,3.0908
2015.04.12,3.106
2015.04.13,3.1212
2015.04.14,3.0634
2015.04.15,3.0294
2015.04.16,3.0221
2015.04.17,3.0409
2015.04.18,3.038266666666667
2015.04.19,3.035633333333333
2015.04.20,3.033
2015.04.21,3.034
2015.04.22,3.0113
2015.04.23,2.9707
2015.04.24,2.9517
2015.04.25,2.9402333333333335
2015.04.26,2.9287666666666667
2015.04.27,2.9173
2015.04.28,2.9364
2015.04.29,2.9612
2015.04.30,3.0145
2015.05.01,3.0146
2015.05.02,3.0385333333333335
2015.05.03,3.0624666666666664
2015.05.04,3.0864
2015.05.05,3.0536
2015.05.06,3.0333
2015.05.07,3.026
2015.05.08,2.9733
2015.05.09,3.002666666666667
2015.05.10,3.032033333333333
2015.05.11,3.0614
2015.05.12,3.0206
2015.05.13,3.0403
2015.05.14,2.9935
2015.05.15,2.9972
2015.05.16,3.0006666666666666
2015.05.17,3.0041333333333333
2015.05.18,3.0076
2015.05.19,3.0394
2015.05.20,3.0027
2015.05.21,3.0379
2015.05.22,3.0949
2015.05.23,3.0955333333333335
2015.05.24,3.0961666666666665
2015.05.25,3.0968
2015.05.26,3.1536
2015.05.27,3.1409
2015.05.28,3.1624
2015.05.29,3.1798
2015.05.30,3.1771333333333334
2015.05.31,3.174466666666667
2015.06.01,3.1718
2015.06.02,3.1306
2015.06.03,3.1345
2015.06.04,3.1418
2015.06.05,3.1439
2015.06.06,3.1336666666666666
2015.06.07,3.1234333333333333
2015.06.08,3.1132
2015.06.09,3.0966
2015.06.10,3.1187
2015.06.11,3.0896
2015.06.12,3.1185
2015.06.13,3.122333333333333
2015.06.14,3.1261666666666668
2015.06.15,3.13
2015.06.16,3.0885
2015.06.17,3.057
2015.06.18,3.0605
2015.06.19,3.0976
2015.06.20,3.0922
2015.06.21,3.0867999999999998
2015.06.22,3.0814
2015.06.23,3.076
2015.06.24,3.0979
2015.06.25,3.1277
2015.06.26,3.1295
2015.06.27,3.1256
2015.06.28,3.1217
2015.06.29,3.1178
2015.06.30,3.103
2015.07.01,3.1498
2015.07.02,3.0967
2015.07.03,3.1347
2015.07.04,3.1361666666666665
2015.07.05,3.1376333333333335
2015.07.06,3.1391
2015.07.07,3.1867
